Sr No.,Holiday name,Unnamed: 0,Date,Unnamed: 1,Day
,,,,,
1.0,New Year Eve,,1st January 2026,,Thursday
,,,,,
2.0,Makara Sankranti / Uttarayana,,15th January 2026,,Thursday
,,,,,
3.0,Chhatrapati Shivaji Jayanthi,,19th February 2026,,Thursday
,,,,,
4.0,Holi,,2nd March 2026,,Monday
,,,,,
5.0,Ugadi / Gudi Padwa,,19th March 2026,,Thursday
,,,,,
6.0,Id ul Fitr,,20th March 2026,,Friday
,,,,,
7.0,Ram Navami,,27th March 2026,,Friday
,,,,,
8.0,Mahaveera Jayanthi,,31st March 2026,,Tuesday
,,,,,
9.0,Good Friday,,3rd April 2026,,Friday
,,,,,
10.0,Dr. B.R. Ambedkar Jayanthi,,14th April 2026,,Tuesday
,,,,,
11.0,Basava Jayanthi,,20th April 2026,,Monday
,,,,,
12.0,Labour Day / Buddha Purnima,,1st May 2026,,Friday
,,,,,
13.0,Eid-ul-Adha (Bakrid),,28th May 2026,,Thursday
,,,,,
14.0,Muharram,,26th June 2026,,Friday
,,,,,
15.0,Eid-e-Milad,,26th August 2026,,Wednesday
,,,,,
16.0,Raksha Bandhan,,28th August 2026,,Friday
,,,,,
17.0,Janmashtami,,4th September 2026,,Friday
,,,,,
18.0,Ganesh Chaturthi,,14th September 2026,,Monday
,,,,,
